Original URL,Image URL
https://plants.usda.gov/plant-profile/COCA4,https://plants.sc.egov.usda.gov/ImageLibrary/standard/coca4_001_svd.jpg
https://plants.usda.gov/plant-profile/COER,https://plants.sc.egov.usda.gov/ImageLibrary/standard/coer_003_shp.jpg
https://plants.usda.gov/plant-profile/COPE80,https://plants.sc.egov.usda.gov/ImageLibrary/standard/cope80_002_shp.jpg
https://plants.usda.gov/plant-profile/COAM,https://plants.sc.egov.usda.gov/ImageLibrary/standard/coam_005_svp.jpg
https://plants.usda.gov/plant-profile/COCA5,https://plants.sc.egov.usda.gov/ImageLibrary/standard/coca5_001_shp.jpg
https://plants.usda.gov/plant-profile/COMA4,https://plants.sc.egov.usda.gov/ImageLibrary/standard/coma4_008_svp.jpg
https://plants.usda.gov/plant-profile/COOD7,https://plants.sc.egov.usda.gov/ImageLibrary/standard/cood_001_svd.jpg
https://plants.usda.gov/plant-profile/COAL2,https://plants.sc.egov.usda.gov/ImageLibrary/standard/coal2_002_shp.jpg
https://plants.usda.gov/plant-profile/COAM2,https://plants.sc.egov.usda.gov/ImageLibrary/standard/coam2_002_shp.jpg
https://plants.usda.gov/plant-profile/COFL2,https://plants.sc.egov.usda.gov/ImageLibrary/standard/cofl2_001_svp.jpg
https://plants.usda.gov/plant-profile/COFO,https://plants.sc.egov.usda.gov/ImageLibrary/standard/cofo_002_svp.jpg
https://plants.usda.gov/plant-profile/CORA6,https://plants.sc.egov.usda.gov/ImageLibrary/standard/cora6_001_shp.jpg
https://plants.usda.gov/plant-profile/CORU,https://plants.sc.egov.usda.gov/ImageLibrary/standard/coru_002_shp.jpg
https://plants.usda.gov/plant-profile/COSE16,https://plants.sc.egov.usda.gov/ImageLibrary/standard/cose16_001_shp.jpg
https://plants.usda.gov/plant-profile/COSE5,https://plants.sc.egov.usda.gov/ImageLibrary/standard/cose5_002_shp.jpg
https://plants.usda.gov/plant-profile/COAM3,https://plants.sc.egov.usda.gov/ImageLibrary/standard/coam3_002_shp.jpg
https://plants.usda.gov/plant-profile/CRCR2,https://plants.sc.egov.usda.gov/ImageLibrary/standard/crcr2_002_shp.jpg
https://plants.usda.gov/plant-profile/CRPE,
https://plants.usda.gov/plant-profile/CRPR2,https://plants.sc.egov.usda.gov/ImageLibrary/standard/crpr2_002_shp.jpg
https://plants.usda.gov/plant-profile/CRSA4,https://plants.sc.egov.usda.gov/ImageLibrary/standard/crsa4_001_svd.jpg
https://plants.usda.gov/plant-profile/CUVI,https://plants.sc.egov.usda.gov/ImageLibrary/standard/cupe4_001_shp.jpg
https://plants.usda.gov/plant-profile/CUGR,https://plants.sc.egov.usda.gov/ImageLibrary/standard/cugr_002_shp.jpg
https://plants.usda.gov/plant-profile/CYEC2,https://plants.sc.egov.usda.gov/ImageLibrary/standard/cyov_003_shp.jpg
https://plants.usda.gov/plant-profile/CYLUL,https://plants.sc.egov.usda.gov/ImageLibrary/standard/cyfi2_001_svd.jpg
https://plants.usda.gov/plant-profile/CYOD,https://plants.sc.egov.usda.gov/ImageLibrary/standard/cyfe3_002_shp.jpg
https://plants.usda.gov/plant-profile/CYSQ,https://plants.sc.egov.usda.gov/ImageLibrary/standard/cyar3_001_shp.jpg
https://plants.usda.gov/plant-profile/CYST,https://plants.sc.egov.usda.gov/ImageLibrary/standard/cyst_002_shp.jpg
https://plants.usda.gov/plant-profile/CYAC3,https://plants.sc.egov.usda.gov/ImageLibrary/standard/cyac3_001_svp.jpg
https://plants.usda.gov/plant-profile/CYPA19,https://plants.sc.egov.usda.gov/ImageLibrary/standard/cyar5_006_svp.jpg
https://plants.usda.gov/plant-profile/CYBU3,https://plants.sc.egov.usda.gov/ImageLibrary/standard/cybu3_001_svp.jpg
https://plants.usda.gov/plant-profile/CYFR2,https://plants.sc.egov.usda.gov/ImageLibrary/standard/cyfr2_003_shp.jpg
https://plants.usda.gov/plant-profile/DACO,https://plants.sc.egov.usda.gov/ImageLibrary/standard/daco_001_svd.jpg
https://plants.usda.gov/plant-profile/DASP2,https://plants.sc.egov.usda.gov/ImageLibrary/standard/dasp2_003_svp.jpg
https://plants.usda.gov/plant-profile/DEPU2,https://plants.sc.egov.usda.gov/ImageLibrary/standard/depu2_001_svd.jpg
https://plants.usda.gov/plant-profile/DEAC4,https://plants.sc.egov.usda.gov/ImageLibrary/standard/atth_001_svd.jpg
https://plants.usda.gov/plant-profile/DEFL,https://plants.sc.egov.usda.gov/ImageLibrary/standard/defl_003_shp.jpg
https://plants.usda.gov/plant-profile/DECA7,https://plants.sc.egov.usda.gov/ImageLibrary/standard/deca7_001_svp.jpg
https://plants.usda.gov/plant-profile/DECA8,https://plants.sc.egov.usda.gov/ImageLibrary/standard/deca8_001_shp.jpg
https://plants.usda.gov/plant-profile/DEGL4,https://plants.sc.egov.usda.gov/ImageLibrary/standard/megl4_001_svd.jpg
https://plants.usda.gov/plant-profile/DELA2,https://plants.sc.egov.usda.gov/ImageLibrary/standard/mela8_001_svd.jpg
https://plants.usda.gov/plant-profile/DEMA2,https://plants.sc.egov.usda.gov/ImageLibrary/standard/mema9_001_svd.jpg
https://plants.usda.gov/plant-profile/DENU4,https://plants.sc.egov.usda.gov/ImageLibrary/standard/menu2_001_svd.jpg
https://plants.usda.gov/plant-profile/DENU5,
https://plants.usda.gov/plant-profile/DEOB5,https://plants.sc.egov.usda.gov/ImageLibrary/standard/meob6_001_svd.jpg
https://plants.usda.gov/plant-profile/DEPA6,https://plants.sc.egov.usda.gov/ImageLibrary/standard/depa6_001_shp.jpg
https://plants.usda.gov/plant-profile/DERO3,https://plants.sc.egov.usda.gov/ImageLibrary/standard/memi5_001_svd.jpg
https://plants.usda.gov/plant-profile/DICU,https://plants.sc.egov.usda.gov/ImageLibrary/standard/dicu_001_svp.jpg
https://plants.usda.gov/plant-profile/DICL,https://plants.sc.egov.usda.gov/ImageLibrary/standard/dicl_001_shp.jpg
